year,country_code,country_name,SE.XPD.TOTL.GD.ZS,SE.XPD.CUR.TOTL.ZS,UIS.XSPENDP.FDPUB.FNS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,UIS.PTRHC.56,UIS.TRTP.0,SE.PRM.TCAQ.ZS,UIS.TRTP.2,SE.SEC.TCAQ.ZS,UIS.TRTP.4,UIS.THDUR.0,SE.PRM.DURS,SE.SEC.DURS.LO,SE.SEC.DURS.UP,UIS.THDUR.4.A.GPV,SE.COM.DURS,IT.NET.USER.P2,IT.CMP.PCMP.P2,SP.URB.TOTL.IN.ZS,NY.GDP.PCAP.KD,IT.CEL.SETS.P2
1971,PHL,Philippines,,,,28.5809497833252,33.0784683227539,22.483829498291,,,,,,1.0,6.0,3.0,1.0,,,,,33.493,1159.023858307391,
1971,BFA,Burkina Faso,,,,44.451900482177706,22.609699249267603,6.099999904632571,,,,,,3.0,6.0,4.0,3.0,,,,,5.861000000000001,296.68471070704356,
1971,LKA,Sri Lanka,,,,,,8.07299041748047,,,,,,1.0,5.0,5.0,2.0,,,,,19.91,569.8416383025426,
1971,BDI,Burundi,,,,36.6817398071289,,4.56863021850586,,,,,,3.0,7.0,3.0,3.0,,,,,2.97,252.56213705650396,
1971,MYS,Malaysia,4.55094003677368,,,,25.969600677490202,,,,,,,2.0,6.0,3.0,4.0,,,,,34.271,1955.1296890012295,
1971,SAU,Saudi Arabia,,,,,,12.1836395263672,,,,,,2.0,6.0,3.0,3.0,,,,,50.688,18727.839266978404,
1971,TUR,Turkey,,,,37.8038902282715,27.581110000610398,18.397769927978498,,,,,,2.0,5.0,3.0,3.0,,,,,38.945,4430.478296318129,
1971,GUY,Guyana,,,,29.0934200286865,,,,,,,,2.0,6.0,3.0,2.0,,,,,29.533,1223.627397143134,
1971,ECU,Ecuador,1.87940001487732,,,36.9799690246582,13.8051500320435,13.4956398010254,,,,,,1.0,6.0,3.0,3.0,,,,,39.813,2480.5873968887195,
1971,IDN,Indonesia,,,,29.0193691253662,13.6381502151489,,,,,,,2.0,6.0,3.0,3.0,,,,,17.338,471.46698760237274,
1971,BMU,Bermuda,,,,23.4193496704102,14.179400444030799,,,,,,,1.0,7.0,3.0,2.0,,,,,100.0,51992.4411384928,
1971,SLV,El Salvador,,,,,,,,,,,,3.0,6.0,3.0,2.0,,,,,39.504,3045.5053237108027,
1971,CAF,Central African Republic,,,,63.6921997070313,21.7741298675537,,,,,,,3.0,6.0,4.0,3.0,,,,,28.355999999999998,648.690026097713,
1971,FJI,Fiji,,,,,,,,,,,,3.0,6.0,4.0,2.0,,,,,35.147,3139.3536248347714,
1971,TGO,Togo,,,,58.45613098144529,25.0034103393555,18.4583301544189,,,,,,3.0,6.0,4.0,3.0,,,,,21.601999999999997,599.7926403883573,
1971,DZA,Algeria,,,,40.00059127807621,21.0964603424072,,,,,,,2.0,6.0,4.0,3.0,,,,,39.665,2308.2228513504065,
1971,DOM,Dominican Republic,,,,55.3845291137695,27.0482006072998,,,,,,,4.0,6.0,2.0,4.0,,,,,41.291000000000004,2068.6797950340624,
1971,MRT,Mauritania,,,,24.0007495880127,,,,,,,,3.0,7.0,4.0,3.0,,,,,15.636,1131.587766127242,
1971,GEO,Georgia,,,,,,,,,,,,3.0,4.0,5.0,2.0,,,,,48.474,2435.4034090690884,
1971,BEN,Benin,,,,41.3682403564453,23.1124000549316,9.42424011230469,,,,,,3.0,6.0,4.0,3.0,,,,,17.647000000000002,639.6144027342676,
1971,NPL,Nepal,,,,,,,,,,,,3.0,5.0,2.0,3.0,,,,,4.005,239.92775983435675,
1971,BLZ,Belize,,,,,,7.533329963684079,,,,,,3.0,6.0,4.0,2.0,,,,,50.805,1688.4034950708042,
1971,BOL,Bolivia,,,,,,,,,,,,2.0,6.0,2.0,4.0,,,,,40.082,1194.4195655829626,
1971,ISL,Iceland,,,,19.570499420165998,10.4866304397583,7.19830989837646,,,,,,1.0,6.0,3.0,4.0,,,,,85.26899999999999,32687.679680732323,
